Day(100.0%OfPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
10656 48.71 39.730000000000004 3.9999999999999996 7.6099999999999985
10680 48.71 39.720000000000006 3.9999999999999996 7.619999999999999
10704 48.71 39.71000000000001 4.009999999999999 7.619999999999999
10728 48.699999999999996 39.71000000000001 4.009999999999999 7.629999999999999
10752 48.699999999999996 39.7 4.02 7.629999999999999
10776 48.699999999999996 39.69 4.02 7.64
10800 48.699999999999996 39.67 4.0299999999999985 7.649999999999999
10824 48.699999999999996 39.660000000000004 4.0299999999999985 7.659999999999998
10848 48.71 39.65 4.02 7.669999999999999
10872 48.699999999999996 39.65 4.02 7.68
10896 48.699999999999996 39.65 4.02 7.68
10920 48.71 39.65 4.009999999999999 7.68
10944 48.699999999999996 39.64 4.0299999999999985 7.68
10968 48.69 39.64 4.039999999999999 7.68
10992 48.69 39.64 4.0299999999999985 7.6899999999999995
11016 48.66 39.67 4.0299999999999985 7.6899999999999995
11040 48.66 39.660000000000004 4.039999999999999 7.6899999999999995
11064 48.629999999999995 39.69 4.02 7.709999999999999
11088 48.620000000000005 39.699999999999996 4.009999999999999 7.719999999999999
11112 48.59 39.7 4.009999999999999 7.749999999999998
11136 48.59 39.69 4.02 7.749999999999998
11160 48.61000000000001 39.68000000000001 4.009999999999999 7.749999999999998
11184 48.599999999999994 39.67 4.02 7.759999999999999
11208 48.629999999999995 39.66 4.0 7.759999999999999
11232 48.629999999999995 39.66 3.9900000000000007 7.77
11256 48.61000000000001 39.67 4.0 7.77
11280 48.61000000000001 39.67 3.9800000000000004 7.79
11304 48.61000000000001 39.66 3.9899999999999993 7.79
11328 48.629999999999995 39.66 3.9699999999999998 7.79
11352 48.629999999999995 39.64 3.9900000000000007 7.79
11376 48.64999999999999 39.64 3.9699999999999998 7.79
11400 48.639999999999986 39.629999999999995 3.9899999999999993 7.79
11424 48.639999999999986 39.64 3.9799999999999986 7.79
11448 48.639999999999986 39.64 3.9799999999999986 7.79
11472 48.639999999999986 39.629999999999995 3.9799999999999986 7.799999999999999
11496 48.639999999999986 39.62 3.9799999999999986 7.809999999999999
11520 48.650000000000006 39.62 3.9600000000000004 7.819999999999999
11544 48.650000000000006 39.62 3.9600000000000004 7.819999999999999
11568 48.650000000000006 39.60999999999999 3.9699999999999998 7.819999999999999
