Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
10248 51.6 38.61 3.5600000000000005 6.45
10272 51.6 38.61 3.5600000000000005 6.45
10296 51.61 38.61 3.5300000000000007 6.470000000000001
10320 51.61 38.6 3.54 6.470000000000001
10344 51.61 38.6 3.5300000000000007 6.4799999999999995
10368 51.62 38.580000000000005 3.5100000000000007 6.510000000000001
10392 51.62 38.580000000000005 3.5100000000000007 6.510000000000001
10416 51.61 38.57 3.52 6.52
10440 51.59 38.57 3.52 6.539999999999998
10464 51.59 38.57 3.52 6.539999999999998
10488 51.6 38.57 3.5000000000000004 6.550000000000001
10512 51.61 38.57 3.47 6.570000000000001
10536 51.6 38.57 3.47 6.58
10560 51.61 38.559999999999995 3.4600000000000004 6.59
10584 51.59 38.550000000000004 3.49 6.59
10608 51.580000000000005 38.559999999999995 3.49 6.59
10632 51.59 38.559999999999995 3.4800000000000004 6.59
10656 51.59999999999999 38.550000000000004 3.4800000000000004 6.59
10680 51.580000000000005 38.54 3.5100000000000007 6.59
10704 51.580000000000005 38.54 3.5100000000000007 6.59
10728 51.6 38.559999999999995 3.47 6.59
10752 51.61 38.559999999999995 3.45 6.599999999999999
10776 51.62000000000001 38.550000000000004 3.44 6.61
10800 51.62000000000001 38.550000000000004 3.44 6.61
10824 51.62000000000001 38.550000000000004 3.44 6.61
10848 51.6 38.54 3.4600000000000004 6.619999999999999
10872 51.6 38.53 3.47 6.619999999999999
10896 51.57999999999999 38.53 3.4600000000000004 6.65
10920 51.57999999999999 38.52 3.4600000000000004 6.659999999999999
10944 51.57999999999999 38.49999999999999 3.4800000000000004 6.659999999999999
10968 51.59 38.49999999999999 3.4600000000000004 6.670000000000001
10992 51.59 38.48 3.47 6.68
11016 51.6 38.46999999999999 3.47 6.68
11040 51.59 38.46999999999999 3.4800000000000004 6.68
11064 51.59 38.459999999999994 3.49 6.68
11088 51.580000000000005 38.47 3.49 6.68
11112 51.580000000000005 38.459999999999994 3.5000000000000004 6.68
11136 51.580000000000005 38.459999999999994 3.49 6.69
11160 51.56 38.480000000000004 3.49 6.69
11184 51.550000000000004 38.489999999999995 3.49 6.69
11208 51.550000000000004 38.480000000000004 3.5000000000000004 6.69
11232 51.54 38.47 3.5100000000000007 6.699999999999999
11256 51.559999999999995 38.46 3.5000000000000004 6.699999999999999
11280 51.55 38.470000000000006 3.4800000000000004 6.72
11304 51.559999999999995 38.470000000000006 3.47 6.72
11328 51.57000000000001 38.470000000000006 3.4600000000000004 6.72
11352 51.57999999999999 38.470000000000006 3.4300000000000006 6.739999999999998
11376 51.56 38.46999999999999 3.45 6.739999999999998
11400 51.57000000000001 38.46999999999999 3.44 6.739999999999998
