Day(35.0%TBInfectionONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
7128 31.730000000000004 55.49000000000001 5.2700000000000005 7.629999999999999
7152 31.740000000000002 55.44 5.3100000000000005 7.629999999999999
7176 31.740000000000002 55.38000000000001 5.359999999999999 7.64
7200 31.75 55.39999999999999 5.32 7.6499999999999995
7224 31.730000000000004 55.410000000000004 5.32 7.659999999999998
7248 31.740000000000002 55.39999999999999 5.32 7.659999999999998
7272 31.740000000000002 55.38999999999999 5.28 7.71
7296 31.740000000000002 55.39999999999999 5.2700000000000005 7.71
7320 31.730000000000004 55.38999999999999 5.2700000000000005 7.7299999999999995
7344 31.740000000000002 55.38999999999999 5.24 7.75
7368 31.759999999999998 55.38000000000001 5.2299999999999995 7.75
7392 31.770000000000003 55.37 5.220000000000001 7.76
7416 31.790000000000003 55.35 5.220000000000001 7.76
7440 31.81 55.31999999999999 5.2299999999999995 7.76
7464 31.8 55.31999999999999 5.2299999999999995 7.7700000000000005
7488 31.800000000000004 55.32 5.220000000000001 7.779999999999999
7512 31.800000000000004 55.32 5.220000000000001 7.779999999999999
7536 31.800000000000004 55.32 5.2 7.8
7560 31.770000000000003 55.31999999999999 5.21 7.82
7584 31.8 55.32999999999999 5.17 7.82
7608 31.830000000000002 55.3 5.16 7.830000000000001
7632 31.830000000000002 55.3 5.16 7.830000000000001
7656 31.840000000000003 55.28999999999999 5.16 7.830000000000001
7680 31.840000000000003 55.279999999999994 5.17 7.830000000000001
7704 31.83000000000001 55.28999999999999 5.140000000000001 7.8599999999999985
7728 31.840000000000007 55.269999999999996 5.140000000000001 7.869999999999999
7752 31.840000000000007 55.26 5.13 7.89
7776 31.83000000000001 55.26 5.13 7.9
7800 31.83000000000001 55.26 5.12 7.909999999999999
7824 31.83000000000001 55.26 5.12 7.909999999999999
7848 31.850000000000005 55.25 5.11 7.909999999999999
7872 31.850000000000005 55.25 5.11 7.909999999999999
7896 31.840000000000007 55.269999999999996 5.08 7.93
7920 31.840000000000007 55.23999999999999 5.11 7.93
7944 31.850000000000005 55.230000000000004 5.11 7.93
7968 31.840000000000007 55.199999999999996 5.13 7.95
7992 31.830000000000002 55.209999999999994 5.13 7.95
8016 31.840000000000003 55.199999999999996 5.12 7.959999999999999
8040 31.819999999999997 55.21 5.11 7.9799999999999995
8064 31.809999999999995 55.230000000000004 5.1000000000000005 7.9799999999999995
8088 31.819999999999993 55.21999999999999 5.1000000000000005 7.9799999999999995
8112 31.83 55.17999999999999 5.13 7.9799999999999995
8136 31.869999999999997 55.17999999999999 5.08 7.99
8160 31.869999999999997 55.169999999999995 5.09 7.99
8184 31.879999999999995 55.169999999999995 5.07 7.999999999999999
8208 31.879999999999995 55.15 5.08 8.01
8232 31.869999999999997 55.13000000000001 5.11 8.01
8256 31.869999999999997 55.1 5.140000000000001 8.01
8280 31.86 55.099999999999994 5.15 8.01
8304 31.880000000000003 55.07000000000001 5.15 8.02
8328 31.880000000000003 55.059999999999995 5.15 8.03
8352 31.910000000000004 55.05000000000001 5.13 8.03
8376 31.880000000000003 55.059999999999995 5.15 8.03
8400 31.900000000000006 55.07000000000001 5.11 8.04
8424 31.910000000000004 55.05000000000001 5.12 8.04
8448 31.879999999999995 55.05000000000001 5.140000000000001 8.049999999999999
8472 31.879999999999995 55.030000000000015 5.15 8.06
8496 31.879999999999995 55.04 5.140000000000001 8.06
8520 31.900000000000002 55.01000000000001 5.15 8.06
8544 31.910000000000004 55.01000000000001 5.13 8.07
8568 31.900000000000002 55.02 5.1000000000000005 8.1
8592 31.900000000000002 55.01000000000001 5.11 8.1
8616 31.900000000000002 54.99000000000001 5.13 8.1
8640 31.89 54.980000000000004 5.140000000000001 8.110000000000001
8664 31.89 54.980000000000004 5.13 8.12
8688 31.879999999999995 54.96000000000001 5.16 8.12
8712 31.869999999999997 54.970000000000006 5.16 8.12
8736 31.869999999999997 54.970000000000006 5.15 8.129999999999999
8760 31.870000000000005 54.96000000000001 5.15 8.14
8784 31.88000000000001 54.949999999999996 5.15 8.14
8808 31.88000000000001 54.94000000000001 5.16 8.14
8832 31.900000000000006 54.94000000000001 5.140000000000001 8.14
8856 31.920000000000005 54.93 5.13 8.14
8880 31.920000000000005 54.94000000000001 5.11 8.149999999999999
8904 31.930000000000003 54.93 5.11 8.149999999999999
8928 31.900000000000006 54.900000000000006 5.15 8.169999999999998
8952 31.900000000000006 54.86 5.17 8.19
8976 31.879999999999995 54.85 5.140000000000001 8.249999999999998
9000 31.879999999999995 54.86000000000001 5.12 8.26
9024 31.890000000000008 54.879999999999995 5.09 8.26
9048 31.89 54.879999999999995 5.08 8.27
9072 31.89 54.87 5.09 8.27
9096 31.880000000000003 54.83 5.13 8.28
9120 31.900000000000002 54.82 5.11 8.290000000000001
9144 31.900000000000002 54.81 5.11 8.299999999999999
9168 31.91 54.79999999999999 5.11 8.299999999999999
9192 31.91 54.790000000000006 5.11 8.309999999999999
9216 31.91 54.77000000000001 5.13 8.309999999999999
9240 31.94 54.77000000000001 5.1000000000000005 8.309999999999999
9264 31.94 54.76 5.09 8.33
9288 31.929999999999996 54.74 5.11 8.34
9312 31.95 54.699999999999996 5.11 8.36
9336 31.96 54.69 5.11 8.36
9360 31.95 54.67999999999999 5.12 8.37
9384 31.95 54.66 5.140000000000001 8.37
9408 31.95 54.65 5.15 8.37
9432 31.96 54.64 5.12 8.399999999999999
9456 31.95 54.620000000000005 5.15 8.399999999999999
9480 31.95 54.6 5.17 8.399999999999999
9504 31.95 54.580000000000005 5.19 8.399999999999999
9528 31.94 54.57000000000001 5.19 8.42
9552 31.94 54.57000000000001 5.19 8.42
9576 31.930000000000003 54.55 5.220000000000001 8.42
9600 31.94 54.54000000000001 5.21 8.43
9624 31.94 54.54000000000001 5.2 8.44
9648 31.94 54.54000000000001 5.2 8.44
9672 31.96 54.51999999999999 5.19 8.45
9696 31.95 54.489999999999995 5.220000000000001 8.459999999999997
9720 31.960000000000004 54.480000000000004 5.21 8.469999999999999
9744 31.95 54.449999999999996 5.24 8.479999999999999
9768 31.95 54.44 5.24 8.489999999999998
9792 31.96 54.43 5.2299999999999995 8.5
9816 31.96 54.42 5.2299999999999995 8.509999999999998
9840 31.95 54.410000000000004 5.2299999999999995 8.53
9864 31.930000000000003 54.43 5.2299999999999995 8.53
9888 31.95 54.42 5.220000000000001 8.53
9912 31.95 54.42 5.220000000000001 8.53
9936 31.95 54.410000000000004 5.2299999999999995 8.53
9960 31.970000000000002 54.410000000000004 5.19 8.549999999999999
9984 31.96 54.410000000000004 5.19 8.559999999999999
10008 31.96 54.39000000000001 5.18 8.59
10032 31.97 54.38000000000001 5.17 8.6
10056 31.979999999999997 54.36 5.17 8.609999999999998
10080 31.989999999999995 54.35000000000001 5.12 8.659999999999998
10104 31.989999999999995 54.33 5.13 8.669999999999998
10128 31.999999999999996 54.33 5.11 8.68
10152 32.0 54.33 5.1000000000000005 8.69
10176 32.01 54.31999999999999 5.1000000000000005 8.69
10200 32.01 54.29999999999999 5.12 8.69
10224 32.01 54.29999999999999 5.11 8.7
10248 32.03 54.31 5.07 8.709999999999999
10272 32.03 54.300000000000004 5.07 8.719999999999999
10296 32.04 54.29000000000001 5.07 8.719999999999999
10320 32.029999999999994 54.28000000000001 5.09 8.719999999999999
10344 32.05 54.27000000000001 5.08 8.719999999999999
10368 32.05 54.25000000000001 5.09 8.729999999999999
10392 32.01 54.279999999999994 5.1000000000000005 8.729999999999999
10416 32.01 54.269999999999996 5.11 8.729999999999999
10440 32.019999999999996 54.26 5.11 8.729999999999999
10464 31.989999999999995 54.269999999999996 5.11 8.75
10488 32.019999999999996 54.26 5.09 8.75
10512 32.029999999999994 54.25 5.09 8.75
10536 32.029999999999994 54.230000000000004 5.1000000000000005 8.759999999999998
10560 32.05 54.230000000000004 5.07 8.769999999999998
10584 32.05 54.21 5.09 8.769999999999998
10608 32.04 54.21 5.08 8.79
10632 32.04 54.210000000000015 5.07 8.799999999999999
10656 32.04 54.17000000000001 5.11 8.799999999999999
10680 32.04 54.17000000000001 5.11 8.799999999999999
10704 32.07000000000001 54.16 5.09 8.799999999999999
10728 32.080000000000005 54.15 5.09 8.799999999999999
10752 32.07000000000001 54.15 5.08 8.819999999999999
10776 32.07000000000001 54.120000000000005 5.11 8.819999999999999
10800 32.01 54.15 5.140000000000001 8.819999999999999
10824 32.05 54.14000000000001 5.11 8.819999999999999
10848 32.05 54.14000000000001 5.11 8.819999999999999
10872 32.05 54.13 5.11 8.829999999999998
10896 32.04 54.13 5.11 8.84
10920 32.050000000000004 54.13 5.1000000000000005 8.84
10944 32.040000000000006 54.09 5.140000000000001 8.85
10968 32.050000000000004 54.06000000000001 5.16 8.85
10992 32.06 54.06000000000001 5.140000000000001 8.859999999999998
11016 32.06 54.05 5.140000000000001 8.87
11040 32.07000000000001 54.06000000000001 5.1000000000000005 8.889999999999999
11064 32.07000000000001 54.04000000000001 5.11 8.9
11088 32.080000000000005 54.010000000000005 5.13 8.9
11112 32.07000000000001 54.03 5.11 8.909999999999998
11136 32.09000000000001 54.0 5.12 8.909999999999998
11160 32.10000000000001 53.99 5.1000000000000005 8.93
11184 32.10000000000001 53.99 5.1000000000000005 8.93
11208 32.10000000000001 53.98 5.09 8.95
11232 32.10000000000001 53.98 5.07 8.969999999999999
11256 32.06 54.02 5.050000000000001 8.99
11280 32.06 54.02 5.050000000000001 8.99
11304 32.07000000000001 54.02 5.029999999999999 9.0
11328 32.07000000000001 54.02 5.029999999999999 9.0
11352 32.11000000000001 53.99 5.0200000000000005 9.0
11376 32.11000000000001 53.98 5.029999999999999 9.0
11400 32.10000000000001 53.98 5.04 9.0
11424 32.11000000000001 53.970000000000006 5.029999999999999 9.009999999999998
