Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
5928 43.010000000000005 41.43 6.550000000000001 9.189999999999998
5952 43.010000000000005 41.4 6.570000000000001 9.2
5976 42.99000000000001 41.40999999999999 6.559999999999999 9.219999999999997
6000 42.980000000000004 41.4 6.58 9.219999999999997
6024 42.980000000000004 41.4 6.570000000000001 9.229999999999999
6048 42.96 41.42 6.570000000000001 9.229999999999999
6072 42.96 41.410000000000004 6.550000000000001 9.259999999999998
6096 42.96 41.36 6.570000000000001 9.29
6120 42.96 41.33 6.59 9.299999999999999
6144 42.940000000000005 41.32000000000001 6.59 9.329999999999998
6168 42.93 41.3 6.619999999999999 9.329999999999998
6192 42.919999999999995 41.3 6.619999999999999 9.339999999999998
6216 42.88999999999999 41.290000000000006 6.649999999999999 9.349999999999998
6240 42.88999999999999 41.260000000000005 6.649999999999999 9.379999999999997
6264 42.86 41.28000000000001 6.639999999999999 9.399999999999999
6288 42.86 41.27000000000001 6.649999999999999 9.399999999999999
6312 42.84 41.28000000000001 6.659999999999999 9.399999999999999
6336 42.84 41.28000000000001 6.649999999999999 9.409999999999998
6360 42.83 41.28 6.649999999999999 9.419999999999998
6384 42.8 41.3 6.649999999999999 9.429999999999998
6408 42.79 41.3 6.63 9.459999999999999
6432 42.79 41.3 6.619999999999999 9.469999999999997
6456 42.79 41.28 6.63 9.479999999999999
6480 42.79 41.260000000000005 6.619999999999999 9.51
6504 42.79 41.25 6.619999999999999 9.519999999999998
6528 42.79 41.23 6.63 9.529999999999998
6552 42.779999999999994 41.23 6.609999999999999 9.559999999999999
6576 42.779999999999994 41.22 6.609999999999999 9.569999999999999
6600 42.779999999999994 41.22 6.599999999999999 9.579999999999998
6624 42.77 41.22 6.58 9.61
6648 42.77 41.209999999999994 6.58 9.619999999999997
6672 42.77 41.19 6.58 9.639999999999999
6696 42.76 41.2 6.569999999999999 9.649999999999999
6720 42.74 41.220000000000006 6.569999999999999 9.649999999999999
6744 42.74 41.20000000000001 6.560000000000002 9.679999999999998
6768 42.73 41.180000000000014 6.570000000000001 9.7
6792 42.72 41.17000000000001 6.570000000000001 9.719999999999999
6816 42.72 41.150000000000006 6.580000000000001 9.729999999999999
6840 42.71 41.12000000000001 6.59 9.76
6864 42.71 41.12000000000001 6.570000000000001 9.779999999999998
6888 42.71 41.11000000000001 6.570000000000001 9.79
6912 42.67999999999999 41.14000000000001 6.559999999999999 9.799999999999999
6936 42.67 41.150000000000006 6.559999999999999 9.799999999999999
6960 42.66 41.14 6.559999999999999 9.819999999999999
6984 42.64 41.16000000000001 6.529999999999999 9.85
