"Step","Total Residents","At Home","School","Water","Religion","restaurant","Health Center","Socialize","Work","Business"
"284","49539","40225","0","476","324","311","1131","2264","4266","542"
"285","49536","47901","0","61","53","40","156","710","476","139"
"286","49535","48863","0","0","0","0","0","554","0","118"
"287","49535","48863","0","0","0","0","0","554","0","118"
"288","49534","49419","0","0","0","0","0","100","0","15"
"289","49534","49534","0","0","0","0","0","0","0","0"
"290","49532","49534","0","0","0","0","0","0","0","0"
"291","49532","49532","0","0","0","0","0","0","0","0"
"292","49531","49532","0","0","0","0","0","0","0","0"
"293","49530","49530","0","0","0","0","0","0","0","0"
"294","49529","42033","0","979","431","399","1266","3116","470","836"
"295","49529","31587","0","2377","1007","903","3018","7582","1151","1904"
"296","49525","28988","0","2715","1118","1044","3458","8742","1312","2152"
"297","49523","10637","0","4263","1677","2126","6488","17192","2669","4473"
"298","49521","8952","0","4387","1773","2202","6734","17940","2830","4705"
"299","49519","11142","0","3994","1784","2084","6549","16514","2636","4818"
"300","49518","11829","0","3564","1633","1865","5912","17151","2714","4851"
"301","49517","15661","0","2561","1553","1696","5832","15802","2516","3896"
"302","49513","15237","0","2526","1559","1694","5783","16180","2559","3979"
"303","49513","12787","0","2261","1482","1517","5403","18605","2766","4692"
"304","49512","12822","0","2406","1605","1588","5748","18061","2639","4644"
"305","49510","12620","0","2530","2045","1700","6390","17025","2461","4741"
"306","49509","24697","0","1242","962","894","3446","12544","2311","3413"
"307","49509","27133","0","976","754","742","2880","11586","2271","3167"
"308","49508","36437","0","589","477","470","1830","6673","1226","1807"
"309","49505","46834","0","97","69","62","296","1639","89","422"
"310","49504","47874","0","0","0","0","0","1297","0","333"
"311","49503","47873","0","0","0","0","0","1297","0","333"
"312","49501","48498","0","0","0","0","0","802","0","203"
"313","49500","49500","0","0","0","0","0","0","0","0"
"314","49496","49496","0","0","0","0","0","0","0","0"
"315","49494","49494","0","0","0","0","0","0","0","0"
"316","49493","49493","0","0","0","0","0","0","0","0"
"317","49490","49490","0","0","0","0","0","0","0","0"
"318","49488","41206","0","782","2162","301","1186","3100","0","753"
"319","49488","32818","0","1558","4282","589","2414","6282","0","1545"
"320","49488","21825","0","2490","6605","1069","3969","10766","0","2764"
"321","49486","10184","0","3401","9056","1563","5584","15563","0","4135"
"322","49486","9559","0","3404","9313","1563","5797","15563","0","4287"
"323","49482","11762","0","2948","8742","1444","5429","14870","0","4291"
"324","49482","13508","0","2586","8028","1365","5167","14755","0","4073"
"325","49479","15957","0","2086","7837","1256","5075","13765","0","3506"
"326","49479","14520","0","1900","7404","1172","4812","15743","0","3928"
"327","49474","13275","0","1677","7365","1123","4776","16979","0","4284"
"328","49474","12905","0","1869","8801","1235","5482","15031","0","4151"
"329","49471","12752","0","1850","9042","1241","5589","14817","0","4183"
"330","49470","19778","0","1284","6686","883","3943","13200","0","3697"
"331","49469","28725","0","754","3939","529","2352","10353","0","2817"
"332","49468","38284","0","422","2352","311","1379","5342","0","1378"
"333","49466","44138","0","225","1335","177","739","2279","0","575"
"334","49465","48023","0","0","0","0","0","1168","0","274"
"335","49462","48020","0","0","0","0","0","1168","0","274"
"336","49461","48835","0","0","0","0","0","504","0","122"
"337","49461","49461","0","0","0","0","0","0","0","0"
"338","49460","49460","0","0","0","0","0","0","0","0"
"339","49458","49458","0","0","0","0","0","0","0","0"
"340","49458","49458","0","0","0","0","0","0","0","0"
"341","49453","49458","0","0","0","0","0","0","0","0"
"342","49453","44386","0","382","283","423","763","1155","1827","234"
