"Step","Susciptable","Exposed","LatentTB","LatentExposed","InfectedTB","Recovered","Dead"
"367","21038","10526","16818","5637","1041","0","578"
"368","21030","10532","16820","5641","1041","0","582"
"369","21023","10535","16820","5641","1041","0","582"
"370","20991","10562","16821","5657","1042","0","585"
"371","20981","10572","16821","5659","1042","0","586"
"372","20956","10597","16821","5665","1041","0","589"
"373","20931","10617","16822","5684","1041","0","590"
"374","20930","10618","16822","5686","1041","0","592"
"375","20919","10624","16822","5698","1041","0","595"
"376","20883","10653","16825","5712","1042","0","598"
"377","20864","10672","16824","5720","1043","0","600"
"378","20850","10685","16823","5728","1043","0","603"
"379","20846","10682","16827","5730","1043","0","605"
"380","20840","10682","16831","5735","1043","0","608"
"381","20836","10681","16832","5738","1043","0","609"
"382","20836","10681","16832","5738","1043","0","611"
"383","20835","10678","16833","5738","1044","0","611"
"384","20833","10678","16834","5739","1044","0","612"
"385","20832","10677","16836","5743","1044","0","617"
"386","20828","10675","16837","5747","1044","0","617"
"387","20827","10675","16838","5745","1044","0","617"
"388","20824","10674","16842","5745","1044","0","618"
"389","20824","10674","16842","5744","1043","0","618"
"390","20822","10671","16845","5739","1044","0","619"
"391","20822","10667","16849","5740","1044","0","621"
"392","20812","10671","16852","5744","1045","0","624"
"393","20808","10673","16851","5746","1045","0","625"
"394","20772","10702","16855","5779","1046","0","626"
"395","20760","10714","16855","5789","1046","0","627"
"396","20740","10728","16859","5801","1046","0","628"
"397","20721","10745","16858","5809","1047","0","630"
"398","20685","10777","16859","5820","1047","0","633"
"399","20672","10786","16862","5827","1047","0","634"
"400","20667","10791","16862","5828","1047","0","635"
"401","20659","10795","16864","5832","1048","0","635"
"402","20647","10804","16866","5840","1049","0","635"
"403","20643","10805","16869","5841","1049","0","635"
"404","20634","10808","16872","5842","1049","0","638"
"405","20631","10808","16873","5839","1050","0","639"
"406","20628","10807","16876","5842","1050","0","640"
"407","20627","10807","16877","5842","1050","0","641"
"408","20624","10808","16878","5843","1050","0","641"
"409","20622","10807","16877","5843","1051","0","644"
"410","20622","10805","16878","5848","1051","0","645"
"411","20621","10803","16881","5853","1051","0","646"
"412","20615","10802","16884","5856","1051","0","649"
"413","20614","10800","16887","5855","1051","0","651"
"414","20614","10799","16886","5856","1051","0","651"
"415","20604","10802","16890","5865","1051","0","654"
"416","20601","10803","16892","5865","1051","0","656"
"417","20592","10810","16892","5867","1051","0","657"
"418","20579","10817","16897","5875","1051","0","657"
"419","20560","10829","16902","5892","1051","0","659"
"420","20557","10830","16904","5893","1051","0","663"
"421","20554","10828","16905","5893","1051","0","666"
"422","20529","10847","16908","5912","1051","0","666"
"423","20512","10859","16912","5925","1051","0","667"
"424","20481","10887","16913","5938","1051","0","669"
"425","20468","10900","16913","5949","1051","0","669"
"426","20456","10911","16914","5959","1051","0","672"
"427","20441","10920","16916","5964","1051","0","673"
"428","20437","10924","16916","5964","1051","0","676"
"429","20433","10919","16922","5965","1051","0","676"
"430","20429","10920","16924","5968","1051","0","677"
"431","20423","10926","16923","5973","1051","0","678"
"432","20422","10925","16925","5973","1051","0","680"
"433","20421","10923","16926","5974","1051","0","683"
"434","20419","10921","16927","5973","1051","0","684"
"435","20415","10919","16932","5973","1051","0","684"
"436","20415","10913","16938","5972","1051","0","689"
"437","20409","10910","16939","5973","1053","0","690"
"438","20408","10908","16942","5973","1053","0","690"
"439","20399","10912","16945","5978","1053","0","692"
"440","20394","10914","16948","5986","1053","0","692"
"441","20386","10919","16950","5990","1054","0","693"
"442","20372","10931","16951","6008","1054","0","694"
"443","20366","10936","16951","6017","1054","0","695"
"444","20350","10949","16952","6024","1055","0","697"
"445","20347","10949","16952","6031","1056","0","697"
"446","20320","10971","16953","6043","1060","0","697"
"447","20309","10979","16956","6049","1060","0","698"
"448","20275","11009","16958","6062","1060","0","699"
"449","20263","11017","16962","6073","1060","0","699"
"450","20247","11028","16967","6089","1060","0","700"
"451","20247","11024","16969","6088","1061","0","700"
"452","20242","11029","16969","6090","1061","0","702"
"453","20237","11028","16973","6093","1061","0","702"
"454","20235","11021","16980","6094","1062","0","703"
"455","20234","11016","16983","6095","1063","0","705"
"456","20232","11017","16984","6096","1063","0","705"
"457","20230","11013","16988","6095","1063","0","707"
"458","20230","11012","16989","6098","1063","0","707"
"459","20226","11009","16996","6098","1063","0","707"
"460","20224","11008","16997","6099","1063","0","709"
"461","20224","11007","16997","6099","1064","0","711"
"462","20222","11001","17003","6101","1064","0","711"
"463","20220","11000","17005","6104","1063","0","713"
"464","20212","11007","17006","6111","1063","0","715"
"465","20196","11018","17008","6120","1063","0","716"
"466","20183","11029","17010","6124","1063","0","716"
"467","20159","11050","17011","6141","1063","0","718"
"468","20145","11057","17017","6147","1063","0","719"
"469","20133","11064","17021","6157","1063","0","720"
"470","20122","11071","17025","6164","1063","0","723"
"471","20102","11086","17027","6179","1063","0","727"
"472","20088","11092","17030","6182","1063","0","728"
"473","20069","11108","17029","6192","1064","0","731"
"474","20062","11113","17031","6197","1064","0","733"
"475","20057","11113","17034","6198","1064","0","734"
"476","20048","11112","17042","6209","1064","0","735"
"477","20047","11113","17042","6206","1064","0","737"
"478","20045","11107","17047","6208","1065","0","737"
"479","20043","11103","17051","6208","1065","0","739"
"480","20042","11101","17054","6208","1065","0","743"
"481","20041","11094","17058","6208","1065","0","745"
"482","20040","11092","17059","6205","1065","0","746"
"483","20037","11084","17067","6202","1066","0","747"
"484","20037","11083","17068","6203","1066","0","753"
"485","20031","11080","17071","6204","1066","0","755"
"486","20028","11076","17076","6205","1066","0","757"
"487","20021","11078","17078","6208","1067","0","757"
"488","20014","11078","17082","6209","1067","0","760"
"489","19998","11088","17088","6225","1067","0","763"
"490","19976","11099","17093","6237","1067","0","766"
"491","19956","11118","17094","6244","1067","0","766"
"492","19942","11125","17097","6249","1068","0","769"
"493","19932","11132","17100","6255","1068","0","770"
"494","19923","11135","17105","6260","1068","0","770"
"495","19905","11148","17107","6271","1068","0","773"
"496","19889","11160","17108","6281","1068","0","776"
"497","19876","11170","17111","6283","1068","0","777"
"498","19863","11176","17116","6285","1069","0","777"
"499","19857","11180","17118","6285","1069","0","779"
"500","19847","11185","17122","6295","1068","0","779"
"501","19846","11178","17128","6297","1068","0","781"
"502","19845","11178","17129","6301","1068","0","783"
"503","19842","11177","17130","6300","1069","0","783"
"504","19841","11178","17130","6302","1069","0","787"
"505","19838","11173","17133","6299","1070","0","787"
"506","19838","11169","17136","6295","1071","0","793"
"507","19833","11166","17138","6301","1071","0","794"
"508","19831","11166","17139","6302","1071","0","794"
"509","19828","11164","17143","6298","1072","0","796"
"510","19828","11160","17145","6300","1072","0","797"
"511","19827","11156","17148","6299","1073","0","801"
"512","19816","11158","17153","6307","1073","0","801"
"513","19805","11164","17158","6315","1073","0","801"
"514","19802","11166","17159","6322","1073","0","802"
"515","19790","11175","17160","6347","1074","0","806"
"516","19770","11185","17166","6368","1074","0","806"
"517","19753","11196","17172","6379","1074","0","806"
"518","19738","11206","17176","6390","1074","0","807"
"519","19730","11209","17181","6404","1074","0","807"
"520","19723","11213","17183","6417","1075","0","810"
"521","19708","11222","17184","6431","1077","0","814"
"522","19693","11228","17188","6445","1077","0","815"
"523","19692","11226","17191","6447","1077","0","815"
"524","19688","11226","17194","6456","1078","0","818"
"525","19686","11223","17195","6459","1079","0","819"
"526","19686","11216","17200","6461","1079","0","820"
"527","19686","11213","17201","6463","1081","0","821"
"528","19685","11208","17206","6465","1081","0","823"
"529","19681","11202","17212","6465","1083","0","823"
"530","19680","11200","17215","6464","1083","0","826"
"531","19677","11195","17217","6468","1083","0","829"
"532","19675","11194","17220","6468","1083","0","829"
"533","19675","11191","17222","6467","1084","0","830"
"534","19673","11187","17226","6464","1085","0","830"
"535","19673","11181","17232","6464","1085","0","832"
"536","19661","11182","17239","6471","1086","0","833"
"537","19656","11186","17239","6472","1087","0","836"
"538","19642","11192","17239","6479","1089","0","839"
"539","19632","11199","17242","6486","1089","0","839"
"540","19626","11200","17247","6499","1089","0","845"
"541","19604","11203","17258","6520","1089","0","847"
"542","19593","11208","17264","6532","1089","0","847"
"543","19584","11214","17265","6541","1090","0","848"
"544","19584","11213","17266","6542","1090","0","849"
"545","19566","11229","17266","6558","1091","0","849"
"546","19549","11244","17268","6571","1091","0","850"
"547","19542","11243","17272","6581","1092","0","852"
"548","19541","11236","17279","6587","1092","0","853"
"549","19540","11229","17284","6584","1095","0","853"
"550","19540","11226","17285","6589","1096","0","854"
"551","19537","11225","17288","6589","1097","0","855"
"552","19533","11225","17289","6589","1097","0","857"
"553","19533","11223","17291","6588","1097","0","857"
"554","19532","11220","17294","6589","1098","0","862"
"555","19530","11213","17294","6587","1101","0","863"
"556","19530","11208","17298","6588","1101","0","864"
"557","19528","11205","17300","6592","1102","0","866"
"558","19528","11201","17301","6589","1103","0","868"
"559","19525","11200","17305","6590","1103","0","868"
"560","19514","11208","17306","6593","1104","0","869"
"561","19492","11219","17314","6599","1105","0","871"
"562","19488","11221","17316","6604","1105","0","872"
